panel,scenario-id,scenario-text,scenario-url,sex,age,body-area,priority-clinical-areas
Gastrointestinal,3195285,"Deep pelvic hernia suspected, obturator, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6237,All,18 - 150,Pelvis,
Gastrointestinal,3195287,"Deep pelvic hernia suspected, perineal, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6239,All,18 - 150,Pelvis,
Gastrointestinal,3195286,"Deep pelvic hernia suspected, sciatic, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6238,All,18 - 150,Pelvis,
Gastrointestinal,3194184,"Perianal abscess suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5555,All,18 - 150,Pelvis,
Gastrointestinal,3194185,"Perianal fistula suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5556,All,18 - 150,Pelvis,
Gastrointestinal,3194188,"Rectovaginal fistula suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5558,All,18 - 150,Pelvis,
Gastrointestinal,3194187,"Rectovesicular fistula suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5557,All,18 - 150,Pelvis,
Gyn and OB,3197148,"Adnexal mass suspected, no acute symptoms, postmenopausal, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7520,Female Only,18 - 150,Pelvis,
Gyn and OB,3074166,"Adnexal mass suspected, no acute symptoms, premenopausal, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=877,Female Only,18 - 150,Pelvis,
Gyn and OB,3082200,"Adnexal mass, likely benign, no acute symptoms, postmenopausal, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=1171,Female Only,18 - 150,Pelvis,
Gyn and OB,3074171,"Adnexal mass, likely benign, no acute symptoms, premenopausal, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=881,Female Only,18 - 150,Pelvis,
Gyn and OB,3149341,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4705,Female Only,18 - 150,Pelvis,
Gyn and OB,3197151,"Adnexal mass, no acute symptoms, postmenopausal, initial pelvic US indeterminate, next imaging study for characterization",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7522,Female Only,18 - 150,Pelvis,
Gyn and OB,3197155,"Adnexal mass, no acute symptoms, postmenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7523,Female Only,18 - 150,Pelvis,
Gyn and OB,3082202,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=1172,Female Only,18 - 150,Pelvis,
Gyn and OB,3197150,"Adnexal mass, no acute symptoms, premenopausal, initial pelvic US indeterminate, next imaging study for characterization",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7521,Female Only,18 - 150,Pelvis,
Gyn and OB,3149342,"Adnexal mass, no acute symptoms, premenopausal, pelvic US suspicious for malignancy, next imaging study for characterization",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4706,Female Only,18 - 150,Pelvis,
Gyn and OB,3196732,"Cervical cancer, chemoradiation, posttreatment evaluation",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7287,Female Only,18 - 150,Pelvis,
Gyn and OB,3196735,"Cervical cancer, local recurrence suspected, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7288,Female Only,18 - 150,Pelvis,
Gyn and OB,3196736,"Cervical cancer, local recurrence, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7289,Female Only,18 - 150,Pelvis,
Gyn and OB,3196737,"Cervical cancer, mets recurrence suspected, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7290,Female Only,18 - 150,Pelvis,
Gyn and OB,3196738,"Cervical cancer, mets recurrence, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7291,Female Only,18 - 150,Pelvis,
Gyn and OB,3194854,"Defecatory dysfunction, difficulty initiating defecation, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5955,Female Only,18 - 150,Pelvis,
Gyn and OB,3194857,"Defecatory dysfunction, digital maneuvers to defecate, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5958,Female Only,18 - 150,Pelvis,
Gyn and OB,3194855,"Defecatory dysfunction, incomplete evacuation, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5956,Female Only,18 - 150,Pelvis,
Gyn and OB,3194852,"Defecatory dysfunction, incontinence of gas, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5953,Female Only,18 - 150,Pelvis,
Gyn and OB,3194851,"Defecatory dysfunction, incontinence of liquid, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5952,Female Only,18 - 150,Pelvis,
Gyn and OB,3194850,"Defecatory dysfunction, incontinence of stool, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5951,Female Only,18 - 150,Pelvis,
Gyn and OB,3194856,"Defecatory dysfunction, splinting, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5957,Female Only,18 - 150,Pelvis,
Gyn and OB,3194853,"Defecatory dysfunction, straining during defecation, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5954,Female Only,18 - 150,Pelvis,
Gyn and OB,3185436,"Endometrial cancer, pretreatment evaluation, low grade, assess lymph node and mets",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5387,Female Only,18 - 150,Pelvis,
Gyn and OB,3079768,"Endometrial cancer, treated, recurrence suspected",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=1100,Female Only,18 - 150,Pelvis,
Gyn and OB,3197524,"Endometriosis suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7774,Female Only,18 - 150,Pelvis,
Gyn and OB,3197531,"Endometriosis suspected, rectosigmoid, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7779,Female Only,18 - 150,Pelvis,
Gyn and OB,3197526,"Endometriosis suspected, US indeterminate, next imaging study, characterization",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7775,Female Only,18 - 150,Pelvis,
Gyn and OB,3197527,"Endometriosis suspected, US indeterminate, next imaging study, treatment planning",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7776,Female Only,18 - 150,Pelvis,
Gyn and OB,3197528,"Endometriosis suspected, US negative, next imaging study, characterization",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7777,Female Only,18 - 150,Pelvis,
Gyn and OB,3197529,"Endometriosis suspected, US negative, next imaging study, treatment planning",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7778,Female Only,18 - 150,Pelvis,
Gyn and OB,3197534,"Endometriosis, postoperative diagnosis, new symptoms, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7781,Female Only,18 - 150,Pelvis,
Gyn and OB,3197533,"Endometriosis, postoperative diagnosis, ongoing symptoms, follow-up imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7780,Female Only,18 - 150,Pelvis,
Gyn and OB,3149273,"Fetal growth disturbance, high risk for fetal growth restriction",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4637,Female Only,10 - 60,Pelvis,
Gyn and OB,3149272,"Fetal growth disturbance, low risk for fetal growth restriction",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4636,Female Only,10 - 60,Pelvis,
Gyn and OB,3149274,"Fetal growth restriction, follow up",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4638,Female Only,10 - 60,Pelvis,
Gyn and OB,3195269,"Fibroids suspected, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6226,Female Only,18 - 150,Pelvis,
Gyn and OB,3195271,"Fibroids, treatment planning, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6227,Female Only,18 - 150,Pelvis,
Gyn and OB,3155923,Gestational trophoblastic disease (GTD) suspected,https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4786,Female Only,10 - 60,Pelvis,
Gyn and OB,3163053,"Gestational trophoblastic disease (GTD), assess for complications",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4912,Female Only,10 - 60,Pelvis,
Gyn and OB,3163051,Gestational trophoblastic neoplasia (GTN) suspected,https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4910,Female Only,10 - 60,Pelvis,
Gyn and OB,3163054,"Gestational trophoblastic neoplasia (GTN), assess for complications",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=4913,Female Only,10 - 60,Pelvis,
Gyn and OB,3183774,"Gravid cervix assessment, active term labor, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5337,Female Only,10 - 60,Pelvis,
Gyn and OB,3181230,"Gravid cervix assessment, hx of preterm birth, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5302,Female Only,10 - 60,Pelvis,
Gyn and OB,3183773,"Gravid cervix assessment, labor induction, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5336,Female Only,10 - 60,Pelvis,
Gyn and OB,3183772,"Gravid cervix assessment, no hx of preterm birth, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5335,Female Only,10 - 60,Pelvis,
