,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
0,Breast,"Axillary adenopathy, breast cancer suspected",3110141,US breast,0 mSvO,0 mSv [ped]O,Usually appropriate
1,Breast,"Axillary adenopathy, breast cancer suspected",3110141,Digital breast tomosynthesis diagnostic,0.1-1mSv☢☢,,Usually appropriate
2,Breast,"Axillary adenopathy, breast cancer suspected",3110141,Mammography diagnostic,0.1-1mSv☢☢,,Usually appropriate
3,Breast,"Axillary adenopathy, breast cancer suspected",3110141,MRI breast without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
4,Breast,"Axillary adenopathy, breast cancer suspected",3110141,MRI breast without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
5,Breast,"Axillary lump, palpable, new, bilateral, initial axilla imaging",3194817,US axilla,0 mSvO,0 mSv [ped]O,Usually appropriate
6,Breast,"Axillary lump, palpable, new, bilateral, initial axilla imaging",3194817,Digital breast tomosynthesis diagnostic,0.1-1mSv☢☢,,Usually not appropriate
7,Breast,"Axillary lump, palpable, new, bilateral, initial axilla imaging",3194817,Mammography diagnostic,0.1-1mSv☢☢,,Usually not appropriate
8,Breast,"Axillary lump, palpable, new, bilateral, initial axilla imaging",3194817,MRI breast without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
9,Breast,"Axillary lump, palpable, new, bilateral, initial axilla imaging",3194817,MRI breast without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
10,Breast,"Axillary lump, palpable, new, bilateral, initial axilla imaging",3194817,Sestamibi MBI,1-10 mSv☢☢☢,,Usually not appropriate
11,Breast,"Axillary lump, palpable, new, bilateral, initial axilla imaging",3194817,CT chest abdomen pelvis with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
12,Breast,"Axillary lump, palpable, new, bilateral, initial axilla imaging",3194817,CT chest abdomen pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,Usually not appropriate
13,Breast,"Axillary lump, palpable, new, bilateral, initial axilla imaging",3194817,CT chest abdomen pelvis without IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
14,Breast,"Axillary lump, palpable, new, bilateral, initial axilla imaging",3194817,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
15,Breast,"Axillary lump, palpable, new, unilateral, initial axilla imaging",3194815,US axilla,0 mSvO,0 mSv [ped]O,Usually appropriate
16,Breast,"Axillary lump, palpable, new, unilateral, initial axilla imaging",3194815,Digital breast tomosynthesis diagnostic,0.1-1mSv☢☢,,May be appropriate
17,Breast,"Axillary lump, palpable, new, unilateral, initial axilla imaging",3194815,Mammography diagnostic,0.1-1mSv☢☢,,May be appropriate
18,Breast,"Axillary lump, palpable, new, unilateral, initial axilla imaging",3194815,MRI breast without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
19,Breast,"Axillary lump, palpable, new, unilateral, initial axilla imaging",3194815,MRI breast without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
20,Breast,"Axillary lump, palpable, new, unilateral, initial axilla imaging",3194815,Sestamibi MBI,1-10 mSv☢☢☢,,Usually not appropriate
21,Breast,"Axillary lump, palpable, new, unilateral, initial axilla imaging",3194815,CT chest abdomen pelvis with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
22,Breast,"Axillary lump, palpable, new, unilateral, initial axilla imaging",3194815,CT chest abdomen pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,Usually not appropriate
23,Breast,"Axillary lump, palpable, new, unilateral, initial axilla imaging",3194815,CT chest abdomen pelvis without IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
24,Breast,"Axillary lump, palpable, new, unilateral, initial axilla imaging",3194815,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
25,Breast,"Axillary node, suspicious on imaging, not mammo or US, next imaging study",3194837,US axilla,0 mSvO,0 mSv [ped]O,Usually appropriate
26,Breast,"Axillary node, suspicious on imaging, not mammo or US, next imaging study",3194837,Digital breast tomosynthesis diagnostic,0.1-1mSv☢☢,,Usually appropriate
27,Breast,"Axillary node, suspicious on imaging, not mammo or US, next imaging study",3194837,Mammography diagnostic,0.1-1mSv☢☢,,Usually appropriate
28,Breast,"Axillary node, suspicious on imaging, not mammo or US, next imaging study",3194837,US-guided core biopsy axillary node,0 mSvO,0 mSv [ped]O,May be appropriate (Disagreement)
29,Breast,"Axillary node, suspicious on imaging, not mammo or US, next imaging study",3194837,US-guided fine needle aspiration biopsy axillary node,0 mSvO,0 mSv [ped]O,May be appropriate
30,Breast,"Axillary node, suspicious on mammo or US, next imaging study",3194835,US-guided core biopsy axillary node,0 mSvO,0 mSv [ped]O,Usually appropriate
31,Breast,"Axillary node, suspicious on mammo or US, next imaging study",3194835,US-guided fine needle aspiration biopsy axillary node,0 mSvO,0 mSv [ped]O,Usually appropriate
32,Breast,"Axillary node, suspicious on mammo or US, next imaging study",3194835,MRI breast without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate (Disagreement)
33,Breast,"Axillary node, suspicious on mammo or US, next imaging study",3194835,MRI breast without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
34,Breast,"Axillary node, suspicious on mammo or US, next imaging study",3194835,Sestamibi MBI,1-10 mSv☢☢☢,,Usually not appropriate
35,Breast,"Axillary node, suspicious on mammo or US, next imaging study",3194835,CT chest abdomen pelvis with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
36,Breast,"Axillary node, suspicious on mammo or US, next imaging study",3194835,CT chest abdomen pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,Usually not appropriate
37,Breast,"Axillary node, suspicious on mammo or US, next imaging study",3194835,CT chest abdomen pelvis without IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
38,Breast,"Axillary node, suspicious on mammo or US, next imaging study",3194835,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
39,Breast,"Breast cancer screening, >=20-25% estimated lifetime risk",3197142,Digital breast tomosynthesis screening,0.1-1mSv☢☢,,Usually appropriate
