,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
0,Cardiac,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRA chest without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
1,Cardiac,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRA chest without IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
2,Cardiac,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRI heart function and morphology without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
3,Cardiac,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRI heart function and morphology without IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
4,Cardiac,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,CTA coronary arteries with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
5,Cardiac,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,Arteriography coronary with ventriculography,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
6,Cardiac,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRA abdomen without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
7,Cardiac,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRI heart function with stress without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
8,Cardiac,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,MRI heart function with stress without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
9,Cardiac,"Acquired coronary artery abnormality suspected, TTE inadequate assessment of coronary morphology, next imaging study",3196446,CTA chest with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
