,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
0,Gyn and OB,"Adnexal mass suspected, no acute symptoms, postmenopausal, initial imaging",3197148,US duplex Doppler pelvis,0 mSvO,0 mSv [ped]O,Usually appropriate
1,Gyn and OB,"Adnexal mass suspected, no acute symptoms, postmenopausal, initial imaging",3197148,US pelvis transabdominal,0 mSvO,0 mSv [ped]O,Usually appropriate
2,Gyn and OB,"Adnexal mass suspected, no acute symptoms, postmenopausal, initial imaging",3197148,US pelvis transabdominal and US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
3,Gyn and OB,"Adnexal mass suspected, no acute symptoms, postmenopausal, initial imaging",3197148,US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
4,Gyn and OB,"Adnexal mass suspected, no acute symptoms, postmenopausal, initial imaging",3197148,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
5,Gyn and OB,"Adnexal mass suspected, no acute symptoms, postmenopausal, initial imaging",3197148,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
6,Gyn and OB,"Adnexal mass suspected, no acute symptoms, postmenopausal, initial imaging",3197148,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
7,Gyn and OB,"Adnexal mass suspected, no acute symptoms, postmenopausal, initial imaging",3197148,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
8,Gyn and OB,"Adnexal mass suspected, no acute symptoms, postmenopausal, initial imaging",3197148,CT pelvis without and with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
9,Gyn and OB,"Adnexal mass suspected, no acute symptoms, postmenopausal, initial imaging",3197148,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
10,Gyn and OB,"Adnexal mass suspected, no acute symptoms, pregnant, initial imaging",3149744,US duplex Doppler pelvis,0 mSvO,0 mSv [ped]O,Usually appropriate
11,Gyn and OB,"Adnexal mass suspected, no acute symptoms, pregnant, initial imaging",3149744,US pelvis transabdominal,0 mSvO,0 mSv [ped]O,Usually appropriate
12,Gyn and OB,"Adnexal mass suspected, no acute symptoms, pregnant, initial imaging",3149744,US pelvis transabdominal and US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
13,Gyn and OB,"Adnexal mass suspected, no acute symptoms, pregnant, initial imaging",3149744,US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
14,Gyn and OB,"Adnexal mass suspected, no acute symptoms, pregnant, initial imaging",3149744,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
15,Gyn and OB,"Adnexal mass suspected, no acute symptoms, pregnant, initial imaging",3149744,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
16,Gyn and OB,"Adnexal mass suspected, no acute symptoms, pregnant, initial imaging",3149744,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
17,Gyn and OB,"Adnexal mass suspected, no acute symptoms, pregnant, initial imaging",3149744,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
18,Gyn and OB,"Adnexal mass suspected, no acute symptoms, pregnant, initial imaging",3149744,CT pelvis without and with IV contrast,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
19,Gyn and OB,"Adnexal mass suspected, no acute symptoms, pregnant, initial imaging",3149744,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
20,Gyn and OB,"Adnexal mass suspected, no acute symptoms, premenopausal, initial imaging",3074166,US duplex Doppler pelvis,0 mSvO,0 mSv [ped]O,Usually appropriate
21,Gyn and OB,"Adnexal mass suspected, no acute symptoms, premenopausal, initial imaging",3074166,US pelvis transabdominal,0 mSvO,0 mSv [ped]O,Usually appropriate
22,Gyn and OB,"Adnexal mass suspected, no acute symptoms, premenopausal, initial imaging",3074166,US pelvis transabdominal and US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
23,Gyn and OB,"Adnexal mass suspected, no acute symptoms, premenopausal, initial imaging",3074166,US pelvis transvaginal,0 mSvO,0 mSv [ped]O,Usually appropriate
24,Gyn and OB,"Adnexal mass suspected, no acute symptoms, premenopausal, initial imaging",3074166,MRI pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
25,Gyn and OB,"Adnexal mass suspected, no acute symptoms, premenopausal, initial imaging",3074166,MRI pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
26,Gyn and OB,"Adnexal mass suspected, no acute symptoms, premenopausal, initial imaging",3074166,CT pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
27,Gyn and OB,"Adnexal mass suspected, no acute symptoms, premenopausal, initial imaging",3074166,CT pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
