,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
0,Interventional Radiology,"AAA, f/u after repair (open or endovasc)",3079770,MRA abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
1,Interventional Radiology,"AAA, f/u after repair (open or endovasc)",3079770,CTA abdomen and pelvis with IV contrast,10-30 mSv☢☢☢☢,,Usually appropriate
2,Interventional Radiology,"AAA, f/u after repair (open or endovasc)",3079770,US duplex Doppler aorta abdomen,0 mSvO,0 mSv [ped]O,May be appropriate
3,Interventional Radiology,"AAA, f/u after repair (open or endovasc)",3079770,Aortography abdomen,1-10 mSv☢☢☢,,May be appropriate
4,Interventional Radiology,"AAA, f/u after repair (open or endovasc)",3079770,Radiography abdomen and pelvis,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,May be appropriate
5,Interventional Radiology,"AAA, f/u after repair (open or endovasc)",3079770,MRA abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
6,Interventional Radiology,"AAA, f/u after repair (open or endovasc)",3079770,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate (Disagreement)
7,Interventional Radiology,"AAA, f/u after repair (open or endovasc)",3079770,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
8,Interventional Radiology,"AAA, f/u after repair (open or endovasc)",3079770,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,May be appropriate
9,Interventional Radiology,"AAA, f/u after repair (open or endovasc)",3079770,CT abdomen and pelvis without IV contrast and US aorta abdomen with duplex Doppler,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
10,Interventional Radiology,"AAA, pre-op planning (open or endovasc)",3079769,MRA abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
11,Interventional Radiology,"AAA, pre-op planning (open or endovasc)",3079769,CTA abdomen and pelvis with IV contrast,10-30 mSv☢☢☢☢,,Usually appropriate
12,Interventional Radiology,"AAA, pre-op planning (open or endovasc)",3079769,Aortography abdomen,1-10 mSv☢☢☢,,May be appropriate
13,Interventional Radiology,"AAA, pre-op planning (open or endovasc)",3079769,MRA abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
14,Interventional Radiology,"AAA, pre-op planning (open or endovasc)",3079769,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
15,Interventional Radiology,"AAA, pre-op planning (open or endovasc)",3079769,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
16,Interventional Radiology,"AAA, pre-op planning (open or endovasc)",3079769,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,May be appropriate
17,Interventional Radiology,"AAA, pre-op planning (open or endovasc)",3079769,US duplex Doppler aorta abdomen,0 mSvO,0 mSv [ped]O,Usually not appropriate
18,Interventional Radiology,"AAA, pre-op planning (open or endovasc)",3079769,Radiography abdomen and pelvis,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
19,Interventional Radiology,"AAA, pre-op planning (open or endovasc)",3079769,CT abdomen and pelvis without IV contrast and US aorta abdomen with duplex Doppler,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
