,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
0,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, gout, initial imaging",3196119,Radiography ankle,<0.1 mSv☢,<0.03 mSv [ped]☢,Usually appropriate
1,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, gout, initial imaging",3196119,US ankle,0 mSvO,0 mSv [ped]O,Usually not appropriate
2,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, gout, initial imaging",3196119,MRI ankle without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
3,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, gout, initial imaging",3196119,MRI ankle without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
4,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, gout, initial imaging",3196119,CT ankle with IV contrast,<0.1 mSv☢,0.03-0.3 mSv [ped]☢☢,Usually not appropriate
5,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, gout, initial imaging",3196119,CT ankle without and with IV contrast,<0.1 mSv☢,0.03-0.3 mSv [ped]☢☢,Usually not appropriate
6,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, gout, initial imaging",3196119,CT ankle without IV contrast,<0.1 mSv☢,0.03-0.3 mSv [ped]☢☢,Usually not appropriate
7,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, gout, initial imaging",3196119,Bone scan whole body,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
8,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, gout, initial imaging",3196119,FDG-PET/CT whole body,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
9,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, pseudogout, initial imaging",3196118,Radiography ankle,<0.1 mSv☢,<0.03 mSv [ped]☢,Usually appropriate
10,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, pseudogout, initial imaging",3196118,US ankle,0 mSvO,0 mSv [ped]O,Usually not appropriate
11,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, pseudogout, initial imaging",3196118,MRI ankle without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
12,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, pseudogout, initial imaging",3196118,MRI ankle without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
13,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, pseudogout, initial imaging",3196118,CT ankle with IV contrast,<0.1 mSv☢,0.03-0.3 mSv [ped]☢☢,Usually not appropriate
14,Musculoskeletal,"Ankle pain, chronic, crystalline arthritis suspected, pseudogout, initial imaging",3196118,CT ankle without and with IV contrast,<0.1 mSv☢,0.03-0.3 mSv [ped]☢☢,Usually not appropriate
