,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
0,Neurologic,"Altered mental status, focal neuro deficit suspected, initial imaging",3149724,CT head without IV contrast,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually appropriate
1,Neurologic,"Altered mental status, focal neuro deficit suspected, initial imaging",3149724,MRI head without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
2,Neurologic,"Altered mental status, focal neuro deficit suspected, initial imaging",3149724,MRI head without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
3,Neurologic,"Altered mental status, focal neuro deficit suspected, initial imaging",3149724,MRI head with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
4,Neurologic,"Altered mental status, focal neuro deficit suspected, initial imaging",3149724,CT head with IV contrast,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
5,Neurologic,"Altered mental status, focal neuro deficit suspected, initial imaging",3149724,CT head without and with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
6,Neurologic,"Altered mental status, hx of intracranial pathology, initial imaging",3149728,MRI head without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
7,Neurologic,"Altered mental status, hx of intracranial pathology, initial imaging",3149728,MRI head without IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
8,Neurologic,"Altered mental status, hx of intracranial pathology, initial imaging",3149728,CT head without IV contrast,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually appropriate
9,Neurologic,"Altered mental status, hx of intracranial pathology, initial imaging",3149728,CT head with IV contrast,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,May be appropriate
10,Neurologic,"Altered mental status, hx of intracranial pathology, initial imaging",3149728,MRI head with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
11,Neurologic,"Altered mental status, hx of intracranial pathology, initial imaging",3149728,CT head without and with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
