,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
0,Thoracic,"Asthma, acute exacerbation, immunocompetent, complicated, initial imaging",3074090,Radiography chest,<0.1 mSv☢,<0.03 mSv [ped]☢,Usually appropriate
1,Thoracic,"Asthma, acute exacerbation, immunocompetent, complicated, initial imaging",3074090,US chest,0 mSvO,0 mSv [ped]O,Usually not appropriate
2,Thoracic,"Asthma, acute exacerbation, immunocompetent, complicated, initial imaging",3074090,MRI chest without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
3,Thoracic,"Asthma, acute exacerbation, immunocompetent, complicated, initial imaging",3074090,MRI chest without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
4,Thoracic,"Asthma, acute exacerbation, immunocompetent, complicated, initial imaging",3074090,CT chest with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
5,Thoracic,"Asthma, acute exacerbation, immunocompetent, complicated, initial imaging",3074090,CT chest without and with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
6,Thoracic,"Asthma, acute exacerbation, immunocompetent, complicated, initial imaging",3074090,CT chest without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
7,Thoracic,"Asthma, acute exacerbation, immunocompetent, complicated, initial imaging",3074090,CTA chest with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
8,Thoracic,"Asthma, acute exacerbation, immunocompetent, complicated, initial imaging",3074090,V/Q scan lung,1-10 mSv☢☢☢,,Usually not appropriate
9,Thoracic,"Asthma, acute exacerbation, immunocompetent, uncomplicated, initial imaging",3074089,Radiography chest,<0.1 mSv☢,<0.03 mSv [ped]☢,May be appropriate
10,Thoracic,"Asthma, acute exacerbation, immunocompetent, uncomplicated, initial imaging",3074089,US chest,0 mSvO,0 mSv [ped]O,Usually not appropriate
11,Thoracic,"Asthma, acute exacerbation, immunocompetent, uncomplicated, initial imaging",3074089,MRI chest without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
12,Thoracic,"Asthma, acute exacerbation, immunocompetent, uncomplicated, initial imaging",3074089,MRI chest without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
13,Thoracic,"Asthma, acute exacerbation, immunocompetent, uncomplicated, initial imaging",3074089,CT chest with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
14,Thoracic,"Asthma, acute exacerbation, immunocompetent, uncomplicated, initial imaging",3074089,CT chest without and with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
15,Thoracic,"Asthma, acute exacerbation, immunocompetent, uncomplicated, initial imaging",3074089,CT chest without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
16,Thoracic,"Asthma, acute exacerbation, immunocompetent, uncomplicated, initial imaging",3074089,CTA chest with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
17,Thoracic,"Asthma, acute exacerbation, immunocompetent, uncomplicated, initial imaging",3074089,V/Q scan lung,1-10 mSv☢☢☢,,Usually not appropriate
18,Thoracic,"Bronchial stenosis suspected, initial imaging",3197460,Radiography chest,<0.1 mSv☢,<0.03 mSv [ped]☢,Usually appropriate
19,Thoracic,"Bronchial stenosis suspected, initial imaging",3197460,CT chest with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
