,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
0,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,MRU without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
1,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,CTU without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,Usually appropriate
2,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,US kidneys and bladder retroperitoneal,0 mSvO,0 mSv [ped]O,May be appropriate
3,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,Fluoroscopy voiding cystourethrography,0.1-1mSv☢☢,0.03-0.3 mSv [ped]☢☢,May be appropriate
4,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,Fluoroscopy cystography,1-10 mSv☢☢☢,,May be appropriate
5,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,MRI abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
6,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,MRI abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
7,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
8,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
9,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,May be appropriate
10,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,CT pelvis with bladder contrast (CT cystography),10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
11,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,Fluoroscopy urethrography double balloon,0.1-1mSv☢☢,,Usually not appropriate
12,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,Radiography abdomen,0.1-1mSv☢☢,0.03-0.3 mSv [ped]☢☢,Usually not appropriate
13,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,Fluoroscopy contrast enema,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
14,Urologic,"UTI, lower urinary tract, recurrent, risk factors",3191907,Radiography intravenous urography,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
15,Urologic,"Adrenal mass, <4cm on imaging, no benign features, hx of malignancy, adrenal specific follow up imaging",3194270,MRI abdomen without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
