,panel,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
0,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,US aorta abdomen,0 mSvO,0 mSv [ped]O,Usually appropriate
1,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,US duplex Doppler aorta abdomen,0 mSvO,0 mSv [ped]O,May be appropriate
2,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate (Disagreement)
3,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,Radiography abdomen and pelvis,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
4,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,Aortography abdomen and pelvis,10-30 mSv☢☢☢☢,,Usually not appropriate
5,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,MRA abdomen and pelvis with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
6,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,MRA abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
7,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,MRA abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
8,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,MRI abdomen and pelvis with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
9,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,MRI abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
10,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,MRI abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
11,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
12,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,Usually not appropriate
13,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,CTA abdomen and pelvis with IV contrast,10-30 mSv☢☢☢☢,,Usually not appropriate
14,Vascular,"AAA screening, asymptomatic, with or without family hx of AAA",3196908,CTA abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,,Usually not appropriate
15,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,US aorta abdomen,0 mSvO,0 mSv [ped]O,Usually appropriate
16,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,US duplex Doppler aorta abdomen,0 mSvO,0 mSv [ped]O,May be appropriate
17,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate (Disagreement)
18,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,Radiography abdomen and pelvis,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
19,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,Aortography abdomen and pelvis,10-30 mSv☢☢☢☢,,Usually not appropriate
20,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,MRA abdomen and pelvis with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
21,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,MRA abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
22,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,MRA abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
23,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,MRI abdomen and pelvis with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
24,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,MRI abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
25,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,MRI abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,Usually not appropriate
26,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
27,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,Usually not appropriate
28,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,CTA abdomen and pelvis with IV contrast,10-30 mSv☢☢☢☢,,Usually not appropriate
29,Vascular,"AAA screening, asymptomatic, with or without smoking hx",3196909,CTA abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,,Usually not appropriate
30,Vascular,"AAA, asymptomatic, surveillance",3149334,US duplex Doppler aorta abdomen,0 mSvO,0 mSv [ped]O,Usually appropriate
31,Vascular,"AAA, asymptomatic, surveillance",3149334,MRA abdomen and pelvis with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
32,Vascular,"AAA, asymptomatic, surveillance",3149334,CTA abdomen and pelvis with IV contrast,10-30 mSv☢☢☢☢,,Usually appropriate
33,Vascular,"AAA, asymptomatic, surveillance",3149334,MRA abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
34,Vascular,"AAA, asymptomatic, surveillance",3149334,MRA abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
35,Vascular,"AAA, asymptomatic, surveillance",3149334,MRI abdomen and pelvis with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
36,Vascular,"AAA, asymptomatic, surveillance",3149334,MRI abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
37,Vascular,"AAA, asymptomatic, surveillance",3149334,MRI abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate (Disagreement)
38,Vascular,"AAA, asymptomatic, surveillance",3149334,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
39,Vascular,"AAA, asymptomatic, surveillance",3149334,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
40,Vascular,"AAA, asymptomatic, surveillance",3149334,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,May be appropriate
41,Vascular,"AAA, asymptomatic, surveillance",3149334,Aortography abdomen,1-10 mSv☢☢☢,,Usually not appropriate
42,Vascular,"AAA, asymptomatic, surveillance",3149334,Radiography chest abdomen pelvis,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,Usually not appropriate
43,Vascular,"AAA, f/u after repair (open or endovasc)",3079770,MRA abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
44,Vascular,"AAA, f/u after repair (open or endovasc)",3079770,CTA abdomen and pelvis with IV contrast,10-30 mSv☢☢☢☢,,Usually appropriate
45,Vascular,"AAA, f/u after repair (open or endovasc)",3079770,US duplex Doppler aorta abdomen,0 mSvO,0 mSv [ped]O,May be appropriate
46,Vascular,"AAA, f/u after repair (open or endovasc)",3079770,Aortography abdomen,1-10 mSv☢☢☢,,May be appropriate
47,Vascular,"AAA, f/u after repair (open or endovasc)",3079770,Radiography abdomen and pelvis,1-10 mSv☢☢☢,0.3-3 mSv [ped]☢☢☢,May be appropriate
48,Vascular,"AAA, f/u after repair (open or endovasc)",3079770,MRA abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
49,Vascular,"AAA, f/u after repair (open or endovasc)",3079770,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate (Disagreement)
50,Vascular,"AAA, f/u after repair (open or endovasc)",3079770,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
51,Vascular,"AAA, f/u after repair (open or endovasc)",3079770,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,May be appropriate
52,Vascular,"AAA, f/u after repair (open or endovasc)",3079770,CT abdomen and pelvis without IV contrast and US aorta abdomen with duplex Doppler,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
53,Vascular,"AAA, pre-op planning (open or endovasc)",3079769,MRA abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,Usually appropriate
54,Vascular,"AAA, pre-op planning (open or endovasc)",3079769,CTA abdomen and pelvis with IV contrast,10-30 mSv☢☢☢☢,,Usually appropriate
55,Vascular,"AAA, pre-op planning (open or endovasc)",3079769,Aortography abdomen,1-10 mSv☢☢☢,,May be appropriate
56,Vascular,"AAA, pre-op planning (open or endovasc)",3079769,MRA abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
57,Vascular,"AAA, pre-op planning (open or endovasc)",3079769,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
