panel,scenario-id,scenario-text,scenario-url,sex,age,body-area,priority-clinical-areas
Breast,3110141,"Axillary adenopathy, breast cancer suspected",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=3209,Male Only,18 - 150,Breast,
Breast,3194817,"Axillary lump, palpable, new, bilateral, initial axilla imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5930,Female Only,18 - 150,Breast,
Breast,3194815,"Axillary lump, palpable, new, unilateral, initial axilla imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5929,Female Only,18 - 150,Breast,
Breast,3194837,"Axillary node, suspicious on imaging, not mammo or US, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5940,Female Only,18 - 150,Breast,
Breast,3194835,"Axillary node, suspicious on mammo or US, next imaging study",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5939,Female Only,18 - 150,Breast,
Breast,3197142,"Breast cancer screening, >=20-25% estimated lifetime risk",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7515,Female Only,25 - 150,Breast,
Breast,3197137,"Breast cancer screening, 15-20% estimated lifetime risk",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7510,Female Only,30 - 150,Breast,
Breast,3197134,"Breast cancer screening, average risk",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=7507,Female Only,40 - 150,Breast,
Breast,3185415,"Breast cancer screening, cancer hx, mastectomy side, no reconstruction",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5366,Female Only,18 - 150,Breast,
Breast,3185416,"Breast cancer screening, cancer hx, mastectomy, autologous reconstruction side",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5367,Female Only,18 - 150,Breast,
Breast,3185417,"Breast cancer screening, cancer hx, mastectomy, nonautologous reconstruction side",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=5368,Female Only,18 - 150,Breast,
