panel,scenario-id,scenario-text,scenario-url,sex,age,body-area,priority-clinical-areas,ct_usually_appropriate,ct_may_be_appropriate,ct_not_appropriate,other_usually_appropriate,other_may_be_appropriate,other_not_appropriate,mr_usually_appropriate,mr_may_be_appropriate,mr_not_appropriate,us_usually_appropriate,us_may_be_appropriate,us_not_appropriate,other_modality_usually_appropriate,other_modality_may_be_appropriate,other_modality_not_appropriate,green-green,green-yellow,green-red,yellow-green,yellow-yellow,yellow-red,red-green,red-yellow,red-red
Cardiac,3195891,"Arterial occlusion, lower extremity, embolic etiology suspected, next imaging study, determine source",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6712,All,18 - 150,Chest-abdomen-pelvis,,True,False,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Cardiac,3195887,"Arterial occlusion, mesenteric arterial system, embolic etiology suspected, next imaging study, determine source",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6709,All,18 - 150,Chest-abdomen,,True,False,False,True,True,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False
Cardiac,3195888,"Arterial occlusion, renal arterial system, embolic etiology suspected, next imaging study, determine source",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6710,All,18 - 150,Chest-abdomen,,True,False,False,True,True,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False
Cardiac,3195889,"Arterial occlusion, renal infarcts, embolic etiology suspected, next imaging study, determine source",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6711,All,18 - 150,Chest-abdomen,,True,False,False,True,True,True,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False
Cardiac,3195885,"Arterial occlusion, upper extremity, embolic etiology suspected, next imaging study, determine source",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6708,All,18 - 150,Chest-abdomen,,True,False,False,True,True,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Cardiac,3195893,"Arterial occlusions, multi organ system, embolic etiology suspected, next imaging study, determine source",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6713,All,18 - 150,Chest-abdomen-pelvis,,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Gastrointestinal,3081311,"Abd pain, acute, nonlocalized, fever, initial exam",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=1133,All,18 - 150,Abdomen-pelvis,,True,True,False,False,True,True,False,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3074175,"Abd pain, acute, nonlocalized, fever, post op, initial exam",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=883,All,18 - 150,Abdomen-pelvis,,True,True,False,False,True,True,False,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3141529,"Abd pain, acute, nonlocalized, initial exam",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=3567,All,18 - 150,Abdomen-pelvis,,True,True,False,True,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3141528,"Abd pain, acute, nonlocalized, neutropenic, initial exam",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=3566,All,18 - 150,Abdomen-pelvis,,True,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
Gastrointestinal,3074207,"Abdominal mass, intra-abdominal neoplasm suspected",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=906,All,18 - 150,Abdomen,,True,True,True,True,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3195278,"Abdominal wall hernia suspected, incisional, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6232,All,18 - 150,Abdomen,,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Gastrointestinal,3195279,"Abdominal wall hernia suspected, lumbar, initial imaging",https://gravitas.acr.org/ACPortal/GetDataForOneScenario?senarioId=6233,All,18 - 150,Abdomen,,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
